Gênero,Tipo de Escola,INDE 22,INDE 23,INDE 24,IAA,IEG,IPS,IPP,IDA,IPV,IAN,Defasagem
Masculino,Pública,0.0,6.3457,6.053509523800001,9.002,7.619047619,7.51,5.625,4.5,4.58,5.0,-1
Masculino,Pública,0.0,0.0,7.8185809524000005,9.502,9.761904762,7.51,7.5,9.0,5.575,5.0,-1
Feminino,Pública,0.0,0.0,8.8262,8.002,10.0,7.51,6.25,9.75,8.5,10.0,0
Feminino,Pública,0.0,0.0,9.3612,8.502,10.0,7.51,8.75,10.0,9.425,10.0,0
Masculino,Pública,0.0,8.0777,7.4195809524000005,9.002,9.511904762,2.51,7.5,8.75,6.83,5.0,-1
Masculino,Pública,0.0,8.5822,6.677723809500001,9.502,8.7976190475,2.51,7.5,4.5,7.835,5.0,-1
Masculino,Pública,0.0,0.0,7.2340128655000004,8.502,9.4590643275,7.51,6.25,6.25,6.83,5.0,-1
Feminino,Pública,7.873412973084886,7.056,6.066009523800001,8.502,6.619047619,3.135,5.625,6.5,6.08,5.0,-1
Masculino,Pública,0.0,0.0,7.3701047619,9.502,8.0595238095,7.51,6.25,5.5,6.66,10.0,0
Masculino,Pública,0.0,0.0,6.153842857100001,8.502,8.7857142855,2.51,5.625,5.0,6.165,5.0,-1
Feminino,Pública,0.0,8.0172,7.1323428571,9.002,8.7857142855,7.51,6.25,6.5,6.495,5.0,-1
Feminino,Pública,0.0,8.8862,7.693461904800001,9.502,9.023809524,7.51,6.875,7.0,8.0,5.0,-1
Feminino,Privada,0.0,8.8902,6.4483428571,10.002,9.0357142855,2.51,6.25,4.0,7.325,5.0,-1
Feminino,Pública,0.0,7.9012,7.967866666700001,9.002,7.833333333500001,7.51,7.5,9.25,8.25,5.0,-1
Feminino,Pública,7.587060296442688,5.852,5.685771428600001,10.002,6.3928571430000005,2.51,6.25,3.75,6.405,5.0,-1
Masculino,Pública,7.484211146117041,7.7597,8.3373184211,9.502,9.7368421055,8.13,8.4375,8.75,7.665,5.0,-2
Feminino,Pública,0.0,9.1312,7.7244368421,9.002,9.4736842105,7.51,8.125,6.75,7.58,5.0,-1
Masculino,Pública,0.0,8.8872,7.9298184211,8.502,9.7368421055,7.51,7.8125,8.0,7.5,5.0,-1
Masculino,Pública,7.205336595776773,7.5227,7.73495,9.002,9.75,7.51,7.1875,7.25,7.325,5.0,-1
Masculino,Pública,0.0,0.0,7.9604662539,7.502,8.5913312695,7.51,8.75,9.0,7.83,5.0,-1
Masculino,Pública,0.0,7.9535,8.3422,9.502,10.0,7.51,8.75,8.5,7.83,5.0,-1
Masculino,Pública,0.0,0.0,7.855727777800001,8.002,8.388888889,7.51,8.4375,8.5,7.915,5.0,-1
Feminino,Pública,0.0,9.3237,8.3792,10.002,10.0,9.38,8.75,7.5,7.83,5.0,-1
Feminino,Pública,0.0,0.0,8.335450000000002,8.502,10.0,8.755,8.4375,8.5,7.83,5.0,-2
Masculino,Pública,0.0,0.0,8.1861038462,9.002,9.230769231,8.13,8.4375,8.75,7.665,5.0,-1
Masculino,Pública,0.0,8.6677,8.379818421100001,10.002,9.7368421055,7.51,7.8125,9.5,7.5,5.0,-1
Masculino,Pública,0.0,0.0,8.289950000000001,10.002,9.5,8.13,8.4375,8.5,7.665,5.0,-1
Feminino,Pública,0.0,0.0,6.454700000000001,8.002,9.5,7.51,6.875,3.0,6.08,5.0,-1
Feminino,Pública,0.0,0.0,7.353427272700001,9.502,8.3636363635,7.51,8.125,6.0,7.335,5.0,-1
Masculino,Pública,0.0,8.1617,8.0352454545,9.502,9.5227272725,7.51,8.125,8.25,7.335,5.0,-1
Masculino,Pública,0.0,0.0,7.202245454500001,10.002,6.5227272725,7.51,8.125,7.0,7.17,5.0,-1
Masculino,Pública,0.0,7.0169,6.8916181818,7.418,7.909090909,7.51,7.5,6.75,6.085,5.0,-1
Masculino,Pública,0.0,7.5427,7.537472727300001,9.502,8.3863636365,7.51,8.75,6.75,7.17,5.0,-1
Feminino,Pública,0.0,6.4832,6.1376545455,9.002,6.4772727275,7.51,8.75,2.25,6.83,5.0,-2
Masculino,Pública,0.0,5.82875,6.9318363636,10.002,9.318181818,7.51,7.5,3.75,6.585,5.0,-2
Feminino,Pública,0.0,0.0,7.8695888889,9.002,9.4444444445,7.51,8.125,5.5,7.085,10.0,0
Masculino,Pública,0.0,7.44345,7.9943363636,9.502,8.568181818,7.51,8.125,9.0,7.335,5.0,-2
Masculino,Pública,0.0,0.0,7.1807,8.002,7.5,7.51,8.125,6.75,7.335,5.0,-1
Masculino,Pública,0.0,7.7692,7.453427272700001,9.002,7.8636363634999995,7.51,8.125,7.25,7.335,5.0,-1
Feminino,Pública,0.0,0.0,6.552990476200001,9.168,7.380952381,5.01,6.25,4.0,6.17,10.0,0
Feminino,Pública,0.0,0.0,7.2102,8.502,9.0,5.635,5.625,6.0,6.17,10.0,0
Masculino,Pública,0.0,0.0,6.8480623189,8.502,7.0018115945,7.51,5.625,5.0,6.42,10.0,0
Feminino,Pública,0.0,0.0,8.738700000000001,9.502,9.375,5.635,7.5,10.0,8.0,10.0,0
Feminino,Pública,0.0,7.7803,7.1463666667000005,8.502,7.708333333500001,5.01,6.875,8.0,7.33,5.0,-1
Masculino,Pública,0.0,0.0,7.709200000000001,10.002,6.875,5.635,6.875,8.5,6.915,10.0,0
Feminino,Pública,0.0,7.1717,7.188033333300001,10.002,7.291666666499999,6.26,6.875,7.0,7.58,5.0,-1
Feminino,Pública,0.0,0.0,7.690800000000001,7.418,10.0,5.635,6.875,6.5,6.99,10.0,0
Feminino,Pública,0.0,7.5367,6.6513739130000005,9.002,7.010869565,6.26,6.25,6.0,6.99,5.0,-1
Masculino,Pública,0.0,0.0,7.570033333300001,8.002,8.4166666665,7.51,6.875,8.75,6.99,5.0,-1
Masculino,Pública,0.0,0.0,7.3700333333,9.002,9.7916666665,6.26,6.875,6.5,6.99,5.0,-1
Feminino,Pública,0.0,0.0,6.919852173900001,9.002,6.6032608695,7.51,7.5,6.5,6.99,5.0,-1
Masculino,Pública,0.0,8.4752,7.6077217391,9.502,9.282608695499999,7.51,7.5,6.5,7.5,5.0,-1
Feminino,Pública,0.0,0.0,8.427286956500001,10.002,8.3804347825,7.51,7.5,8.75,7.5,10.0,0
Masculino,Pública,0.0,0.0,8.6012,7.002,10.0,7.51,7.5,9.5,7.5,10.0,0
Feminino,Pública,0.0,0.0,8.052286956500001,8.502,8.6304347825,6.26,7.5,8.0,7.5,10.0,0
Feminino,Pública,0.0,8.3877,7.4637,9.502,9.5,6.26,6.875,6.5,7.5,5.0,-1
Masculino,Pública,0.0,0.0,8.0456444444,10.002,8.722222222,7.51,7.5,9.0,7.5,5.0,-1
Feminino,Pública,0.0,0.0,6.4843521739,7.502,6.9782608695,7.51,6.875,4.5,7.5,5.0,-1
Feminino,Pública,0.0,0.0,7.9632000000000005,9.502,10.0,8.13,7.5,4.75,7.5,10.0,0
Feminino,Pública,0.0,0.0,7.577286956500001,9.502,8.8804347825,7.51,7.5,6.75,7.5,5.0,-1
Masculino,Pública,0.0,0.0,7.3707652174,9.502,9.347826087,7.51,7.5,5.25,7.5,5.0,-1
Masculino,Pública,0.0,0.0,8.101200000000002,9.502,10.0,7.51,7.5,8.25,7.5,5.0,-1
Masculino,Pública,0.0,0.0,8.2742769231,9.002,9.6153846155,7.51,7.5,9.75,7.5,5.0,-1
Feminino,Pública,0.0,7.4127,7.7982217391,9.002,9.532608695499999,6.88,6.875,8.25,7.33,5.0,-1
Masculino,Pública,0.0,0.0,7.8987,9.002,10.0,8.13,6.875,5.5,6.99,10.0,0
Feminino,Pública,0.0,0.0,7.6703428571,9.002,9.2857142855,8.13,7.5,6.75,7.5,5.0,-1
Masculino,Pública,0.0,0.0,6.638292105300001,9.502,8.6842105265,3.755,5.9375,7.25,5.16,5.0,-1
Masculino,Pública,0.0,0.0,7.964342230600001,9.502,8.784461152999999,4.385,7.1875,8.0,7.5,10.0,0
Masculino,Pública,8.143474555555557,6.6785,7.3057112782,10.002,9.022556391,7.51,7.5,5.0,7.5,5.0,-1
Feminino,Pública,0.0,0.0,9.038200000000002,9.502,10.0,8.13,8.75,9.5,7.5,10.0,0
Feminino,Pública,0.0,0.0,7.834830952400001,8.502,9.761904762,7.51,7.8125,7.5,7.5,5.0,-1
Feminino,Pública,0.0,0.0,8.3720803259,8.502,9.2606516295,7.51,7.1875,8.5,7.5,10.0,0
Masculino,Pública,0.0,0.0,6.221984461100001,8.002,7.5689223055,7.51,6.25,5.0,5.16,5.0,-2
Masculino,Pública,0.0,0.0,7.7262,10.002,10.0,4.385,6.875,8.0,7.5,5.0,-1
Feminino,Pública,0.0,0.0,7.803580952400001,9.002,9.761904762,7.51,7.5,7.25,7.5,5.0,-1
Feminino,Pública,0.0,0.0,7.8030796992,9.502,8.759398496,7.51,7.5,8.0,7.5,5.0,-1
Feminino,Pública,0.0,0.0,7.015057142799999,9.002,8.214285713999999,6.88,7.5,5.0,7.67,5.0,-1
Feminino,Pública,0.0,0.0,8.980533333299999,9.002,9.7916666665,6.88,7.5,10.0,8.42,10.0,0
Feminino,Pública,0.0,0.0,8.4930333333,9.502,9.7916666665,5.005,7.5,8.25,8.42,10.0,0
Masculino,Pública,0.0,0.0,8.8435333333,8.502,9.2916666665,7.51,7.5,10.0,8.17,10.0,0
Masculino,Pública,0.0,0.0,5.4262,9.002,5.625,7.51,7.5,0.0,7.0,5.0,-1
Feminino,Pública,0.0,0.0,7.2597000000000005,9.502,7.5,3.755,7.5,5.0,8.42,10.0,0
Masculino,Pública,0.0,7.254,7.812283333400001,9.502,7.5,7.51,8.4375,8.0,8.336666667,5.0,-1
Feminino,Pública,0.0,0.0,7.503255555500002,9.502,8.6944444445,7.51,8.125,5.75,8.003333333,5.0,-1
Feminino,Pública,0.0,7.7687,7.057230303000001,9.002,8.181818182,6.26,7.5,6.5,6.723333333,5.0,-1
Masculino,Pública,0.0,6.824,7.7054045454,8.502,7.727272727,6.26,8.4375,8.25,8.45,5.0,-1
Feminino,Pública,0.0,0.0,8.5997833334,9.502,10.0,7.51,7.8125,7.75,7.836666667,10.0,0
Feminino,Pública,0.0,0.0,7.8477,9.502,10.0,7.51,8.125,6.5,7.67,5.0,-1
Masculino,Pública,0.0,8.215158333,7.897071212,9.002,7.727272727,7.51,8.4375,9.0,7.783333333,5.0,-1
Feminino,Pública,0.0,7.177033333,8.692255194900001,9.502,9.3073593075,6.26,7.8125,8.75,8.616666667,10.0,0
Feminino,Pública,0.0,6.8225,8.1096318182,9.502,9.090909091,6.26,7.8125,8.5,8.67,5.0,-1
Feminino,Pública,0.0,7.612283333,8.9544954545,9.002,9.7727272725,6.88,8.4375,9.0,8.84,10.0,0
Masculino,Pública,0.0,6.964616667,8.0985863636,9.502,9.318181818,7.51,8.4375,8.0,7.95,5.0,-1
Masculino,Pública,0.0,7.164616667,7.613169697000002,9.502,9.318181818,6.26,7.5,6.5,8.116666667,5.0,-1
Feminino,Pública,0.0,0.0,7.8280333334000005,9.002,10.0,6.26,8.125,7.0,7.946666667,5.0,-1
Masculino,Pública,6.657746209461563,6.389991667,6.427771212000001,6.334,7.727272727000001,6.26,6.5625,6.5,5.833333333,5.0,-1
Feminino,Pública,0.0,0.0,7.989700527000001,6.918,9.555335968,7.51,8.125,8.0,8.616666667,5.0,-1
Masculino,Pública,0.0,6.8617,7.2917293147999995,8.502,9.328063240999999,4.38,5.3125,7.25,5.783333333,10.0,0
Feminino,Pública,0.0,0.0,7.438578787899999,9.002,9.7727272725,5.005,7.5,6.0,8.166666667,5.0,-1
Feminino,Pública,0.0,7.8012,7.61095,8.002,10.0,6.88,7.1875,6.75,7.77,5.0,-2
Masculino,Pública,0.0,8.4217,7.8661333334000005,6.418,10.0,7.51,7.5,7.5,8.616666667,5.0,-1
Masculino,Pública,6.344244591269144,5.6857,4.542230369,6.249,5.938735178,4.38,4.0625,3.75,3.176666667,5.0,-2
Masculino,Pública,0.0,8.8452,8.425024769300002,10.002,9.1007905135,5.635,8.125,8.25,7.893333333,10.0,0
Masculino,Pública,0.0,6.24,6.5335560606000005,9.002,6.1363636360000005,4.38,7.1875,6.75,6.996666667,5.0,-1
Masculino,Pública,0.0,8.8042,8.8910333334,9.002,10.0,7.51,8.125,9.25,7.886666667,10.0,0
Feminino,Pública,0.0,7.788875,8.6516166666,8.002,10.0,7.51,8.4375,10.0,8.783333333,5.0,-1
Feminino,Pública,0.0,8.8947,8.802003030200002,9.002,9.318181818,8.13,8.125,8.5,8.563333333,10.0,0
