ID_ALUNO,ANO,IAN,IDA,IEG,IAA,IPS,IPP,IPV,INDE_2024,DEFAS_UNICA,DELTA_IDA
RA-106,2024,10.0,5.666666666666667,8.761904762,9.168,5.635,7.8125,7.872,7.721664285733334,0.0,-1.6333333333333329
RA-1060,2023,5.0,5.7,8.6,9.0,3.14,7.96875,8.673333333,,-1.0,
RA-1060,2024,10.0,3.25,6.0,9.585,6.26,7.8125,6.163333333,6.448416666600001,0.0,-2.45
RA-1061,2023,5.0,9.3,9.7,9.5,3.14,8.75,8.836666667,,-1.0,
RA-1061,2024,10.0,8.5,10.0,8.502,6.26,8.4375,8.73,8.76595,0.0,-0.8000000000000007
RA-1062,2023,10.0,6.2,7.7,7.4,3.77,8.59375,8.503333333,,0.0,
RA-1062,2024,5.0,7.25,9.047619048,8.002,5.63,8.75,8.085,7.6147238096,-1.0,1.0499999999999998
RA-1063,2023,5.0,5.9,9.5,9.5,7.52,6.40625,7.89,,-1.0,
RA-1063,2024,5.0,7.75,9.75,5.25,7.51,7.8125,6.11,7.279250000000001,-1.0,1.8499999999999996
RA-1064,2023,5.0,8.6,9.8,8.5,7.52,9.375,8.84,,-1.0,
RA-1064,2024,10.0,8.5,9.7368421055,9.502,7.51,8.75,8.783333333,8.9802350877,0.0,-0.09999999999999964
RA-1065,2023,5.0,7.0,9.6,8.5,7.52,8.4375,8.84,,-1.0,
RA-1065,2024,10.0,9.25,8.8152173915,9.502,6.26,9.0625,8.84,8.8634934783,0.0,2.25
RA-1066,2023,5.0,6.2,6.6,8.5,7.52,8.4375,8.783333333,,-1.0,
RA-1066,2024,10.0,7.25,8.3954451345,9.502,6.26,7.5,7.386666667,7.9326223603,0.0,1.0499999999999998
RA-1067,2023,5.0,5.4,7.9,0.0,7.52,8.28125,9.006666667,,-1.0,
RA-1067,2024,5.0,6.75,8.333333332999999,10.002,7.51,8.541666667,8.59,7.840033333300001,-1.0,1.3499999999999996
RA-1068,2023,5.0,9.0,9.3,8.5,6.89,9.166666667,9.283333333,,-1.0,
RA-1068,2024,10.0,9.5,9.068181818,9.502,7.51,8.541666667,8.73,9.0150030303,0.0,0.5
RA-1069,2023,5.0,7.1,7.8,9.0,7.52,8.125,8.226666667,,-1.0,
RA-1069,2024,10.0,6.25,7.0760869565,9.002,7.51,8.125,7.75,7.678917391300001,0.0,-0.8499999999999996
RA-107,2023,10.0,7.0,8.5,0.0,5.0,7.34375,7.5875,,0.0,2.4000000000000004
RA-107,2024,5.0,4.666666666666667,7.9949874686666655,7.5,7.51,7.5,6.964,6.676130827066667,-1.0,-2.333333333333333
RA-1070,2023,5.0,5.8,7.8,9.0,3.14,7.708333333,8.67,,-1.0,
RA-1070,2024,5.0,2.25,9.3073593075,9.002,5.635,6.875,6.6225,6.287171861500001,-1.0,-3.55
RA-1071,2023,5.0,3.5,8.6,9.0,7.52,5.625,6.396666667,,-1.0,
RA-1071,2024,5.0,4.5,4.188311688500001,8.002,7.51,4.166666667,2.996666667,4.8048623378,-1.0,1.0
RA-1072,2023,10.0,6.7,8.6,9.0,5.0,8.125,8.7125,,0.0,
RA-1072,2024,10.0,8.166666666666666,5.627886710333333,8.751,8.755,7.96875,7.545,7.8153856754,0.0,1.466666666666666
RA-1073,2023,5.0,6.2,8.8,0.0,2.52,8.333333333,9.045,,-1.0,
RA-1073,2024,10.0,6.5,6.370972886666667,9.168,7.5,6.875,5.7875,7.0859945773333335,0.0,0.2999999999999998
RA-1074,2023,5.0,6.0,9.8,0.0,2.52,7.083333333,7.8775,,-1.0,
RA-1075,2023,5.0,5.5,9.6,0.0,5.0,7.708333333,9.0025,,-1.0,
RA-1075,2024,5.0,6.0,8.5154061625,7.5,3.755,7.708333333,7.553333333,6.8100812324,-1.0,0.5
RA-1076,2023,5.0,8.5,9.7,9.0,2.52,8.333333333,8.8775,,-1.0,
RA-1076,2024,10.0,6.333333333333333,7.777033492666668,8.334,8.125,7.03125,6.5425,7.479598365200001,0.0,-2.166666666666667
RA-1077,2023,10.0,7.3,9.7,0.0,2.52,8.75,8.4225,,0.0,
RA-1077,2024,10.0,2.0,7.703703703666666,0.0,6.885,6.40625,6.37,5.543865740733334,0.0,-5.3
RA-1078,2023,5.0,6.4,6.8,5.3,2.52,8.958333333,8.2975,,-2.0,
RA-1079,2023,5.0,7.6,8.1,9.0,2.52,7.083333333,7.13,,-1.0,
RA-1079,2024,10.0,6.333333333333333,4.516498316333333,7.5,2.51,4.21875,4.1625,5.4253413299333335,0.0,-1.2666666666666666
RA-108,2023,5.0,2.9,7.3,5.8,2.52,4.375,5.59,,-2.0,-2.1
RA-1080,2023,5.0,1.5,10.0,7.9,5.0,8.541666667,8.13,,-1.0,
RA-1081,2023,5.0,6.5,10.0,10.0,2.52,8.958333333,8.59,,-2.0,
RA-1081,2024,10.0,8.833333333333334,9.523809523666666,6.667,5.005,9.166666667,8.95,8.5452952381,0.0,2.333333333333334
RA-1082,2023,5.0,5.0,9.5,9.5,2.52,8.75,8.4225,,-1.0,
RA-1082,2024,5.0,3.75,7.5714285715,7.502,10.0,7.083333333,6.943333333,6.6114857142,-1.0,-1.25
RA-1083,2023,10.0,7.5,10.0,6.8,5.0,8.75,8.38,,0.0,
RA-1084,2023,10.0,6.8,10.0,8.4,2.52,8.75,8.38,,0.0,
RA-1084,2024,10.0,3.6666666666666665,7.705263158,8.751,5.63,7.03125,7.4575,6.9071109649333335,0.0,-3.1333333333333333
RA-1085,2023,5.0,6.7,9.8,0.0,2.52,8.958333333,8.13,,-1.0,
RA-1086,2023,5.0,5.7,9.4,8.5,2.52,8.75,8.755,,-1.0,
RA-1087,2023,5.0,5.4,9.5,10.0,2.52,8.75,8.0475,,-1.0,
RA-1087,2024,10.0,2.6666666666666665,8.393265993333333,7.917,8.755,7.1875,6.58,6.913936532,0.0,-2.733333333333334
RA-1088,2023,5.0,6.8,9.8,9.5,2.52,8.75,7.9225,,-1.0,
RA-1089,2023,10.0,7.0,9.5,9.0,2.52,8.75,8.3375,,0.0,
RA-1089,2024,10.0,6.833333333333333,7.039682539666667,9.168,8.13,7.1875,6.995,7.6221531746,0.0,-0.16666666666666696
RA-109,2023,5.0,8.3,9.9,8.3,7.52,8.75,8.59,,-1.0,-0.09999999999999964
